% Active Strength,Specific Gravity,lb Sol./Gal. Sol. ,Lb. FeCl3/Gal.Sol
0,1,8.32,0
5,1.042,8.67,0.43
10,1.088,9.12,0.91
15,1.134,9.44,1.42
20,1.185,9.87,1.98
25,1.238,10.3,2.58
30,1.298,10.8,3.24
35,1.36,11.32,3.97
37,1.391,11.59,4.28
38,1.402,11.69,4.44
39,1.415,11.78,4.59
40,1.43,11.9,4.77
41,1.445,12.03,4.93
42,1.459,12.14,4.98
43,1.472,12.24,5.27
44,1.485,12.36,5.44
45,1.5,12.48,5.62
46,1.514,12.6,5.79
47,1.53,12.73,5.98
48,1.545,12.86,6.17
